Edad,Sexo,"Nombre del anuncio","Estado de la entrega","Nivel de la entrega",Alcance,Impresiones,Frecuencia,"Configuración de atribución","Tipo de resultado",Resultados,"Importe gastado (USD)","Coste por resultado",Inicio,Fin,"CTR (todos)","CPM (coste por 1000 impresiones)","CPC (Coste por clic en el enlace)","Clics en el enlace",Visualizaciones,"Coste por interacción con la publicación","Tasa de resultados","Clics (todos)","CPC (todos)","Inicio del informe","Fin del informe"
55-64,female,"Patinetas - video Alan - campaña de Interacción",not_delivering,ad,13871,15579,1.1231346,"7 días después del clic o 1 día después de la visualización",ThruPlay,3983,3.22,0.00080844,2025-12-15,2025-12-24,1.76519674,0.20668849,0.03188119,101,,0.00026109,25.56646768,275,0.01170909,2025-12-01,2026-01-31
35-44,female,"Arizon.ai 05 Samsung Galaxy a25 post",not_delivering,ad,1921,2589,1.34773555,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",12,3.22,0.26833333,2026-01-15,2026-01-22,1.96987254,1.24372345,0.17888889,18,,0.04075949,0.46349942,51,0.06313725,2025-12-01,2026-01-31
18-24,female,"Nuevos Xiaomi - campaña de Interacción",not_delivering,ad,6987,9961,1.42564763,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",533,3.21,0.00602251,2026-01-04,2026-01-11,4.29675735,0.3222568,0.12346154,26,,0.00602251,5.35086839,428,0.0075,2025-12-01,2026-01-31
25-34,female,"REDMI PAD 2 PRO - campaña de Interacción",not_delivering,ad,3355,4732,1.41043219,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",407,3.21,0.00788698,2025-12-18,2025-12-25,4.43786982,0.6783601,0.08025,40,,0.00788698,8.60101437,210,0.01528571,2025-12-01,2026-01-31
45-54,female,"Redmi Note 15 Pro - campaña de Interacción",not_delivering,ad,40542,50061,1.23479355,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",18075,3.2,0.00017704,2026-01-04,2026-01-11,2.26923154,0.06392202,0.01300813,246,,0.00017704,36.10595074,1136,0.0028169,2025-12-01,2026-01-31
25-34,female,"Ecoflow River 2 Pro - campaña de Interacción",not_delivering,ad,2437,4584,1.88100123,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",481,3.19,0.00663202,2026-01-07,2026-01-14,5.9991274,0.69589878,0.13869565,23,,0.00663202,10.4930192,275,0.0116,2025-12-01,2026-01-31
35-44,female,"Samsung A17, A56, S25 FE carrusel - campaña de Interacción",not_delivering,ad,8798,13204,1.50079564,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",662,3.19,0.00481873,2026-01-07,2026-01-14,3.62011512,0.24159346,0.01865497,171,,0.00481873,5.01363223,478,0.00667364,2025-12-01,2026-01-31
35-44,male,"Video humberto  tv salcar de Interacción",not_delivering,ad,14851,19327,1.30139385,"7 días después del clic o 1 día después de la visualización",ThruPlay,2261,3.18,0.00140646,2025-12-18,2026-02-06,0.82268329,0.16453666,0.03975,80,,0.00031272,11.69865991,159,0.02,2025-12-01,2026-01-31
55-64,female,"Samsung Galaxy A17 5G",not_delivering,ad,460,956,2.07826087,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",13,3.17,0.24384615,2026-01-24,2026-01-31,6.27615063,3.31589958,0.11740741,27,,0.00780788,1.35983264,60,0.05283333,2025-12-01,2026-01-31
18-24,male,"REDMI 15 - campaña de Interacción",not_delivering,ad,3438,5590,1.62594532,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",406,3.17,0.00780788,2025-12-18,2025-12-25,4.93738819,0.56708408,0.07372093,43,,0.00780788,7.26296959,276,0.01148551,2025-12-01,2026-01-31
45-54,female,"Patinetas - video Alan - campaña de Interacción",not_delivering,ad,15588,17375,1.11463947,"7 días después del clic o 1 día después de la visualización",ThruPlay,3766,3.16,0.00083909,2025-12-15,2025-12-24,1.85899281,0.1818705,0.02846847,111,,0.00024767,21.67482014,323,0.00978328,2025-12-01,2026-01-31
45-54,male,"POCO M8 5G: La potencia que estabas esperando!",not_delivering,ad,538,988,1.83643123,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",8,3.14,0.3925,2026-01-24,2026-01-31,5.97165992,3.17813765,0.1162963,27,,0.00865014,0.8097166,59,0.05322034,2025-12-01,2026-01-31
18-24,female,"XIAOMI PAD 7 - campaña de Interacción",not_delivering,ad,2821,4187,1.48422545,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",341,3.13,0.00917889,2025-12-18,2025-12-25,7.04561739,0.74755195,0.20866667,15,,0.00917889,8.14425603,295,0.01061017,2025-12-01,2026-01-31
55-64,male,"Cashea EcoFlow - campaña de Interacción",not_delivering,ad,3664,5426,1.4808952,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",390,3.13,0.00802564,2025-12-02,2025-12-09,6.08182823,0.57685219,0.02504,125,,0.00802564,7.18761519,330,0.00948485,2025-12-01,2026-01-31
55-64,male,"Nubia Neo 3",active,ad,660,1069,1.61969697,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",11,3.13,0.28454545,2026-01-28,2026-02-04,5.61272217,2.92797007,0.09484848,33,,0.00709751,1.02899906,60,0.05216667,2025-12-01,2026-01-31
35-44,male,"Samsung Galaxy A17 5G",not_delivering,ad,937,1676,1.7886873,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",13,3.12,0.24,2026-01-24,2026-01-31,4.11694511,1.86157518,0.13565217,23,,0.00607004,0.77565632,69,0.04521739,2025-12-01,2026-01-31
18-24,female,"Ecoflow River 2 Pro - campaña de Interacción",not_delivering,ad,2250,4286,1.90488889,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",478,3.1,0.00648536,2026-01-07,2026-01-14,9.33271115,0.72328511,0.23846154,13,,0.00648536,11.15258983,400,0.00775,2025-12-01,2026-01-31
25-34,male,"Personal guarenas - campaña de Interacción MENSAJES",not_delivering,ad,1545,2668,1.72686084,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",29,3.08,0.1062069,2025-12-15,2025-12-17,3.86056972,1.15442279,0.06285714,49,,0.0385,1.08695652,103,0.02990291,2025-12-01,2026-01-31
18-24,male,"Lista 15/01 Arizon.ai - Ad Solo instagram",inactive,ad,2652,3973,1.49811463,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",9,3.07,0.34111111,2026-01-15,2026-01-22,5.05914926,0.77271583,0.04148649,74,,0.00463047,0.22652907,201,0.01527363,2025-12-01,2026-01-31
25-34,female,"Regalos por menos de  150 campaña de Interacción",not_delivering,ad,2647,4232,1.59879108,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",434,3.06,0.00705069,2025-12-06,2025-12-13,10.37334594,0.72306238,0.34,9,,0.00705069,10.25519849,439,0.00697039,2025-12-01,2026-01-31
18-24,male,"Equipa tu hogar por menos de 50 -campaña de Interacción",not_delivering,ad,3370,5719,1.69703264,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",624,3.06,0.00490385,2025-12-06,2025-12-13,11.0683686,0.53505858,0.19125,16,,0.00490385,10.91099843,633,0.00483412,2025-12-01,2026-01-31
35-44,female,"Honor 400 Pro - campaña de Interacción",not_delivering,ad,3253,5178,1.59176145,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",443,3.02,0.00681716,2025-12-11,2025-12-18,6.14136732,0.58323677,0.04870968,62,,0.00681716,8.55542681,318,0.00949686,2025-12-01,2026-01-31
25-34,female,"LISTA 12/12 - campaña de Interacción",not_delivering,ad,8887,10920,1.22876111,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",523,3.01,0.00575526,2025-12-15,2025-12-20,6.23626374,0.27564103,0.00616803,488,,0.00575526,4.78937729,681,0.00441997,2025-12-01,2026-01-31
18-24,male,"Carrusel Redmi Note 15 Pro +5g",not_delivering,ad,1682,3752,2.23067776,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",16,3.01,0.188125,2026-01-19,2026-01-26,3.3315565,0.80223881,0.0602,50,,0.00521664,0.42643923,125,0.02408,2025-12-01,2026-01-31
25-34,female,"Carrusel Baterias Telefonos",not_delivering,ad,1896,3107,1.63871308,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",12,3,0.25,2026-01-15,2026-01-22,3.83006115,0.96556164,0.12,25,,0.01546392,0.38622465,119,0.02521008,2025-12-01,2026-01-31
55-64,male,"Lista 15/01 Arizon.ai - Ad Advantage +",not_delivering,ad,672,1624,2.41666667,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",11,2.98,0.27090909,2026-01-15,2026-01-22,8.25123153,1.83497537,0.03547619,84,,0.00662222,0.6773399,134,0.02223881,2025-12-01,2026-01-31
35-44,male,"Arizon.ai 04 Samsung S25 B Carrusel Samsung Galaxy s25",not_delivering,ad,1155,2097,1.81558442,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",8,2.97,0.37125,2026-01-15,2026-01-22,2.14592275,1.41630901,0.17470588,17,,0.01400943,0.38149738,45,0.066,2025-12-01,2026-01-31
55-64,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,11992,16412,1.36857905,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",649,2.96,0.00456086,2026-01-04,2026-01-10,3.61320985,0.18035584,0.00495812,597,,0.00434655,3.95442359,593,0.00499157,2025-12-01,2026-01-31
35-44,female,"Carrusel de nintendo - campaña de Interacción",not_delivering,ad,2597,4331,1.66769349,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",360,2.96,0.00822222,2025-12-15,2025-12-24,5.44908797,0.68344493,0.06727273,44,,0.00822222,8.31216809,236,0.01254237,2025-12-01,2026-01-31
25-34,female,"XIAOMI PAD 7 - campaña de Interacción",not_delivering,ad,2643,3825,1.44721907,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",312,2.96,0.00948718,2025-12-18,2025-12-25,5.38562092,0.77385621,0.1184,25,,0.00948718,8.15686275,206,0.01436893,2025-12-01,2026-01-31
35-44,female,"Infinix HOT  Pro+ campaña de Interacción",not_delivering,ad,5367,7685,1.43189864,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",533,2.96,0.00555347,2025-12-02,2025-12-09,5.2049447,0.38516591,0.02259542,131,,0.00555347,6.93558881,400,0.0074,2025-12-01,2026-01-31
35-44,male,"POST DELIVERY GRATIS - campaña de Interacción",not_delivering,ad,9019,13094,1.45182393,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",391,2.96,0.00757033,2025-12-26,2026-01-06,2.45914159,0.22605774,0.07789474,38,,0.00757033,2.9861005,322,0.00919255,2025-12-01,2026-01-31
35-44,female,"Note 15 pro",active,ad,783,1574,2.01021711,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,2.95,0.59,2026-01-25,2026-02-01,4.76493011,1.87420584,0.10535714,28,,0.00814917,0.31766201,75,0.03933333,2025-12-01,2026-01-31
35-44,male,"Carrusel Baterias Telefonos",not_delivering,ad,1779,2685,1.50927487,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",8,2.95,0.36875,2026-01-15,2026-01-22,3.72439479,1.09869646,0.07195122,41,,0.01425121,0.29795158,100,0.0295,2025-12-01,2026-01-31
25-34,female,"Top 5 telefonos mas pedidos en navidad campaña de Interacción",not_delivering,ad,4687,7119,1.51888201,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",575,2.94,0.00511304,2025-12-06,2025-12-13,8.55457227,0.41297935,0.04140845,71,,0.00511304,8.0769771,609,0.00482759,2025-12-01,2026-01-31
35-44,female,"REDMI 15 - campaña de Interacción",not_delivering,ad,2980,4721,1.58422819,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",415,2.92,0.00703614,2025-12-18,2025-12-25,6.46049566,0.61851303,0.03073684,95,,0.00703614,8.79051049,305,0.00957377,2025-12-01,2026-01-31
55-64,male,Lifephone,active,ad,593,935,1.5767285,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",4,2.88,0.72,2026-01-27,2026-02-10,4.06417112,3.0802139,0.144,20,,0.00802228,0.42780749,38,0.07578947,2025-12-01,2026-01-31
45-54,female,"Huawei GT5 Pro",active,ad,600,935,1.55833333,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",9,2.88,0.32,2026-01-28,2026-02-04,5.98930481,3.0802139,0.12,24,,0.00929032,0.96256684,56,0.05142857,2025-12-01,2026-01-31
35-44,female,"Carrusel Honor 90 , M6LITE, PLAY9A - campaña de Interacción",not_delivering,ad,3637,5404,1.48583998,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",391,2.87,0.00734015,2025-12-11,2025-12-18,6.2546262,0.53108808,0.02495652,115,,0.00734015,7.2353812,338,0.00849112,2025-12-01,2026-01-31
45-54,male,"Top 5 telefonos mas pedidos en navidad campaña de Interacción",not_delivering,ad,4634,6978,1.5058265,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",561,2.86,0.00509804,2025-12-06,2025-12-13,8.99971338,0.40985956,0.02423729,118,,0.00509804,8.03955288,628,0.00455414,2025-12-01,2026-01-31
65+,female,"Redmi Note 15 Pro",not_delivering,ad,397,828,2.08564232,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",7,2.85,0.40714286,2026-01-24,2026-01-31,5.6763285,3.44202899,0.09827586,29,,0.00863636,0.84541063,47,0.0606383,2025-12-01,2026-01-31
35-44,male,"Ecoflow River 2 Pro - campaña de Interacción",not_delivering,ad,4859,8705,1.79152089,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",444,2.83,0.00637387,2026-01-07,2026-01-14,3.53819644,0.32510052,0.07075,40,,0.00637387,5.10051694,308,0.00918831,2025-12-01,2026-01-31
35-44,female,"Huawei Watch GT6",active,ad,1016,1759,1.73129921,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,2.83,0.566,2026-01-28,2026-02-04,2.67197271,1.60886868,0.25727273,11,,0.01814103,0.28425242,47,0.06021277,2025-12-01,2026-01-31
18-24,female,"Equipa tu hogar por menos de 50 -campaña de Interacción",not_delivering,ad,3233,5073,1.56913084,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",494,2.81,0.00568826,2025-12-06,2025-12-13,10.07293515,0.55391287,0.10807692,26,,0.00568826,9.73782772,511,0.00549902,2025-12-01,2026-01-31
18-24,female,"REDMI PAD 2 PRO - campaña de Interacción",not_delivering,ad,3328,4815,1.4468149,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",359,2.81,0.0078273,2025-12-18,2025-12-25,5.10903427,0.58359294,0.14789474,19,,0.0078273,7.45586708,246,0.01142276,2025-12-01,2026-01-31
18-24,female,"Arizon.ai 05 Samsung Galaxy a25 post",not_delivering,ad,2895,4404,1.52124352,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",4,2.8,0.7,2026-01-15,2026-01-22,1.13533152,0.63578565,1.4,2,,0.02692308,0.09082652,50,0.056,2025-12-01,2026-01-31
25-34,female,"Promocion Xiaomi Mi Post",not_delivering,ad,788,1491,1.89213198,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",6,2.8,0.46666667,2026-01-22,2026-01-29,4.42655936,1.87793427,0.12173913,23,,0.01346154,0.40241449,66,0.04242424,2025-12-01,2026-01-31
45-54,male,"REDMI PAD 2 PRO - campaña de Interacción",not_delivering,ad,1850,3046,1.64648649,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",363,2.79,0.00768595,2025-12-18,2025-12-25,6.00787919,0.91595535,0.062,45,,0.00768595,11.91726855,183,0.0152459,2025-12-01,2026-01-31
65+,male,"REDMI PAD 2 - campaña de Interacción",not_delivering,ad,4483,6677,1.48940442,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",693,2.79,0.00402597,2025-12-26,2026-01-02,5.7660626,0.41785233,0.02818182,99,,0.00402597,10.37891269,385,0.00724675,2025-12-01,2026-01-31
55-64,male,"Carrusel Redmi Note 15 Pro +5g",not_delivering,ad,520,1126,2.16538462,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",6,2.78,0.46333333,2026-01-19,2026-01-26,6.74955595,2.46891652,0.05054545,55,,0.00586498,0.53285968,76,0.03657895,2025-12-01,2026-01-31
45-54,male,"Honor X8C, X7D y PLAY 10 - campaña de Interacción",not_delivering,ad,6582,10938,1.66180492,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",610,2.76,0.00452459,2026-01-07,2026-01-14,4.77235326,0.25233132,0.01346341,205,,0.00452459,5.57688791,522,0.00528736,2025-12-01,2026-01-31
45-54,female,"REDMI PAD 2 - campaña de Interacción",not_delivering,ad,3970,5625,1.41687657,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",483,2.75,0.00569358,2025-12-26,2026-01-02,5.29777778,0.48888889,0.05392157,51,,0.00569358,8.58666667,298,0.00922819,2025-12-01,2026-01-31
55-64,female,"Infinix HOT 60 Pro+",active,ad,422,748,1.77251185,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",9,2.74,0.30444444,2026-01-27,2026-02-03,6.01604278,3.6631016,0.09448276,29,,0.00830303,1.20320856,45,0.06088889,2025-12-01,2026-01-31
25-34,male,"Xiaomi Redmi Note 15 Pro",active,ad,872,1666,1.91055046,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",8,2.74,0.3425,2026-01-27,2026-02-07,4.50180072,1.64465786,0.1096,25,,0.02424779,0.48019208,75,0.03653333,2025-12-01,2026-01-31
35-44,male,"POCO M8 5G: La potencia que estabas esperando!",not_delivering,ad,907,1432,1.57883131,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,2.74,0.548,2026-01-24,2026-01-31,5.02793296,1.91340782,0.11913043,23,,0.00661836,0.34916201,72,0.03805556,2025-12-01,2026-01-31
25-34,male,"Promos samsung - campaña de Interacción",not_delivering,ad,5226,7122,1.36280138,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",648,2.74,0.0042284,2026-01-13,2026-01-20,2.69587195,0.38472339,0.04151515,66,,0.0042284,9.09856782,192,0.01427083,2025-12-01,2026-01-31
25-34,female,"REDMI 15 - campaña de Interacción",not_delivering,ad,3028,4579,1.51221929,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",345,2.73,0.00791304,2025-12-18,2025-12-25,4.56431535,0.59620004,0.0546,50,,0.00791304,7.53439616,209,0.0130622,2025-12-01,2026-01-31
45-54,female,"REDMI 15 - campaña de Interacción",not_delivering,ad,2255,3665,1.62527716,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",350,2.72,0.00777143,2025-12-18,2025-12-25,6.46657572,0.74215553,0.04459016,61,,0.00777143,9.54979536,237,0.01147679,2025-12-01,2026-01-31
55-64,female,"PS5 Humberto - campaña de Interacción",not_delivering,ad,6884,8751,1.2712086,"7 días después del clic o 1 día después de la visualización",ThruPlay,1764,2.72,0.00154195,2025-12-15,2025-12-24,1.33699006,0.31082162,0.04689655,58,,0.00048807,20.15769626,117,0.02324786,2025-12-01,2026-01-31
25-34,male,"Playstation 5",archived,ad,1758,2544,1.44709898,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",18,2.71,0.15055556,2026-01-24,2026-01-31,4.67767296,1.06525157,0.07324324,37,,0.00503717,0.70754717,119,0.02277311,2025-12-01,2026-01-31
55-64,male,"Carrusel Promocion Samsung",not_delivering,ad,687,1272,1.85152838,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,2.71,0.542,2026-01-15,2026-01-22,5.03144654,2.13050314,0.06609756,41,,0.00794721,0.39308176,64,0.04234375,2025-12-01,2026-01-31
35-44,female,"Patinetas - video Alan - campaña de Interacción",not_delivering,ad,13719,15453,1.12639405,"7 días después del clic o 1 día después de la visualización",ThruPlay,3114,2.71,0.00087026,2025-12-15,2025-12-24,1.95431308,0.17537048,0.02822917,96,,0.00026252,20.15142691,302,0.00897351,2025-12-01,2026-01-31
45-54,male,"iPhones carusel campaña de Interacción",not_delivering,ad,2640,4315,1.6344697,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",361,2.71,0.00750693,2025-12-27,2026-01-06,4.797219,0.62804171,0.07742857,35,,0.00750693,8.36616454,207,0.01309179,2025-12-01,2026-01-31
35-44,male,"Top 5 telefonos mas pedidos en navidad campaña de Interacción",not_delivering,ad,5160,8085,1.56686047,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",602,2.69,0.00446844,2025-12-06,2025-12-13,8.10142239,0.3327149,0.0222314,121,,0.00446844,7.44588745,655,0.00410687,2025-12-01,2026-01-31
25-34,female,"top obequios mas pedidos - campaña de Interacción",not_delivering,ad,1951,3392,1.73859559,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",367,2.69,0.0073297,2025-12-18,2025-12-25,11.14386792,0.79304245,0.44833333,6,,0.0073297,10.81957547,378,0.0071164,2025-12-01,2026-01-31
45-54,female,"iPhone 14 Black Friday",not_delivering,ad,3109,4458,1.43390158,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",206,2.67,0.01296117,2025-11-25,"En curso",3.65634814,0.59892328,0.14833333,18,,0.01296117,4.62090624,163,0.01638037,2025-12-01,2026-01-31
25-34,female,"Skullcandy Kilo",not_delivering,ad,923,1516,1.64247021,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",4,2.67,0.6675,2026-01-24,2026-01-31,2.30870712,1.76121372,0.38142857,7,,0.00884106,0.26385224,35,0.07628571,2025-12-01,2026-01-31
55-64,female,"Note 15 pro",active,ad,264,719,2.72348485,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",3,2.67,0.89,2026-01-25,2026-02-01,6.53685675,3.71349096,0.10269231,26,,0.01236111,0.41724618,47,0.05680851,2025-12-01,2026-01-31
18-24,male,"Huawei Watch GT6",active,ad,1438,2491,1.73226704,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,2.66,0.532,2026-01-28,2026-02-04,2.40867122,1.06784424,0.20461538,13,,0.016625,0.2007226,60,0.04433333,2025-12-01,2026-01-31
45-54,female,"iPhone 17 Pro Max BLANCO - campaña de Interacción",not_delivering,ad,4449,7272,1.63452461,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",435,2.66,0.00611494,2026-01-04,2026-01-11,2.72277228,0.36578658,0.05911111,45,,0.00611494,5.98184818,198,0.01343434,2025-12-01,2026-01-31
65+,male,"El Xiaomi 15T Pro",active,ad,172,475,2.76162791,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,2.65,1.325,2026-01-27,2026-02-07,7.78947368,5.57894737,0.08833333,30,,0.0335443,0.42105263,37,0.07162162,2025-12-01,2026-01-31
18-24,female,"POCO F8 PRO - campaña de Interacción",not_delivering,ad,3182,5051,1.58736644,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",514,2.64,0.00513619,2025-12-27,2026-01-06,8.61215601,0.52266878,0.18857143,14,,0.00513619,10.17620273,435,0.00606897,2025-12-01,2026-01-31
45-54,male,"XIAOMI PAD 7 - campaña de Interacción",not_delivering,ad,1668,2916,1.74820144,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",305,2.63,0.00862295,2025-12-18,2025-12-25,7.81893004,0.90192044,0.09392857,28,,0.00862295,10.45953361,228,0.01153509,2025-12-01,2026-01-31
55-64,male,"Lista 22/01/2015",not_delivering,ad,418,862,2.06220096,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",10,2.63,0.263,2026-01-21,2026-01-31,9.16473318,3.05104408,0.05367347,49,,0.00913194,1.16009281,79,0.03329114,2025-12-01,2026-01-31
45-54,female,"Honor 400 Pro - campaña de Interacción",not_delivering,ad,2462,3940,1.60032494,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",390,2.62,0.00671795,2025-12-11,2025-12-18,6.97969543,0.66497462,0.05458333,48,,0.00671795,9.89847716,275,0.00952727,2025-12-01,2026-01-31
18-24,female,"Honor X8C, X7D y PLAY 10 - campaña de Interacción",not_delivering,ad,7182,10438,1.45335561,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",417,2.62,0.00628297,2026-01-07,2026-01-14,3.25732899,0.25100594,0.05038462,52,,0.00628297,3.9950182,340,0.00770588,2025-12-01,2026-01-31
18-24,male,"Skullcandy Kilo",not_delivering,ad,1258,2058,1.63593005,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",10,2.6,0.26,2026-01-24,2026-01-31,2.08940719,1.26336249,0.15294118,17,,0.00581655,0.48590865,43,0.06046512,2025-12-01,2026-01-31
18-24,female,"Carrusel Honor 90 , M6LITE, PLAY9A - campaña de Interacción",not_delivering,ad,3356,4549,1.35548272,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",275,2.6,0.00945455,2025-12-11,2025-12-18,4.22070785,0.57155419,0.08666667,30,,0.00945455,6.04528468,192,0.01354167,2025-12-01,2026-01-31
35-44,female,"Promocion Xiaomi Mi Post",not_delivering,ad,530,996,1.87924528,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",8,2.6,0.325,2026-01-22,2026-01-29,6.52610442,2.61044177,0.08125,32,,0.01092437,0.80321285,65,0.04,2025-12-01,2026-01-31
18-24,male,"PS5 Humberto - campaña de Interacción",not_delivering,ad,11794,18086,1.53349161,"7 días después del clic o 1 día después de la visualización",ThruPlay,1816,2.59,0.00142621,2025-12-15,2025-12-24,1.17217737,0.14320469,0.04389831,59,,0.00035778,10.04091563,212,0.01221698,2025-12-01,2026-01-31
18-24,female,"Nuevos Xiaomi campaña de Interacción",not_delivering,ad,5581,7868,1.40978319,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",455,2.58,0.00567033,2025-12-27,2026-01-06,4.2323335,0.32791052,0.1075,24,,0.00567033,5.78291815,333,0.00774775,2025-12-01,2026-01-31
35-44,female,"Top 5 telefonos mas pedidos en navidad campaña de Interacción",not_delivering,ad,4112,6189,1.505107,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",526,2.58,0.00490494,2025-12-06,2025-12-13,9.22604621,0.41686864,0.02243478,115,,0.00490494,8.49894975,571,0.00451839,2025-12-01,2026-01-31
18-24,male,"Promos samsung - campaña de Interacción",not_delivering,ad,3826,5457,1.42629378,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",466,2.57,0.00551502,2026-01-13,2026-01-20,2.95033901,0.47095474,0.08290323,31,,0.00551502,8.53949056,161,0.01596273,2025-12-01,2026-01-31
35-44,female,"S25 FE - campaña de Interacción",not_delivering,ad,3188,5015,1.57308657,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",459,2.56,0.00557734,2025-12-06,2025-12-13,4.82552343,0.51046859,0.04491228,57,,0.00557734,9.15254237,242,0.01057851,2025-12-01,2026-01-31
18-24,male,"Personal guarenas - campaña de Interacción MENSAJES",not_delivering,ad,939,1657,1.76464324,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",18,2.55,0.14166667,2025-12-15,2025-12-17,4.70730235,1.53892577,0.05795455,44,,0.0380597,1.08630054,78,0.03269231,2025-12-01,2026-01-31
45-54,male,"Arizon.ai 05 Samsung Galaxy a25 post",not_delivering,ad,1436,2053,1.42966574,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",11,2.55,0.23181818,2026-01-15,2026-01-22,2.3867511,1.24208475,0.15,17,,0.04180328,0.53580127,49,0.05204082,2025-12-01,2026-01-31
