Edad,Sexo,"Nombre del anuncio","Estado de la entrega","Nivel de la entrega",Alcance,Impresiones,Frecuencia,"Configuración de atribución","Tipo de resultado",Resultados,"Importe gastado (USD)","Coste por resultado",Inicio,Fin,"CTR (todos)","CPM (coste por 1000 impresiones)","CPC (Coste por clic en el enlace)","Clics en el enlace",Visualizaciones,"Coste por interacción con la publicación","Tasa de resultados","Clics (todos)","CPC (todos)","Inicio del informe","Fin del informe"
25-34,male,"iPhone 14 Black Friday",not_delivering,ad,16361,26127,1.59690728,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1000,12.25,0.01225,2025-11-25,"En curso",2.82083668,0.46886363,0.07704403,159,,0.01225,3.82745819,737,0.01662144,2025-12-01,2026-01-31
25-34,female,"Carrusel Poco M8 5G",not_delivering,ad,3016,9040,2.99734748,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",20,12.22,0.611,2026-01-19,2026-01-26,2.64380531,1.35176991,0.20711864,59,,0.02429423,0.22123894,239,0.05112971,2025-12-01,2026-01-31
18-24,female,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,45082,73411,1.62838827,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",3442,12.16,0.00353283,2026-01-04,2026-01-10,3.37960251,0.16564275,0.00478363,2542,,0.00434907,4.68867064,2481,0.00490125,2025-12-01,2026-01-31
18-24,male,"iPhone 14 Black Friday",not_delivering,ad,16273,25952,1.59478891,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1009,12.12,0.01201189,2025-11-25,"En curso",2.84371147,0.46701603,0.10016529,121,,0.01201189,3.88794698,738,0.01642276,2025-12-01,2026-01-31
25-34,female,"Arizon.ai 03 - Unboxing B Redmi Note 15 Pro 5G",not_delivering,ad,4906,10590,2.15858133,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",59,12.03,0.20389831,2026-01-15,2026-01-29,3.41831917,1.13597734,0.09325581,129,,0.00523499,0.55712937,362,0.03323204,2025-12-01,2026-01-31
35-44,male,"Lista 22/01/2015",not_delivering,ad,3620,8885,2.45441989,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",44,11.95,0.27159091,2026-01-21,2026-01-31,7.65334834,1.34496342,0.04314079,277,,0.00504858,0.49521666,680,0.01757353,2025-12-01,2026-01-31
18-24,male,"Lista 15/01 Arizon.ai - Ad Advantage +",not_delivering,ad,5520,15127,2.74039855,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",35,11.82,0.33771429,2026-01-15,2026-01-22,4.98446486,0.78138428,0.04176678,283,,0.00491068,0.23137436,754,0.01567639,2025-12-01,2026-01-31
18-24,male,"Lista 22/01/2015",not_delivering,ad,4733,11207,2.36784281,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",40,11.74,0.2935,2026-01-21,2026-01-31,5.85348443,1.04755956,0.04811475,244,,0.00505164,0.35691978,656,0.01789634,2025-12-01,2026-01-31
25-34,female,"iPhones carusel campaña de Interacción",not_delivering,ad,18822,29660,1.57581554,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",2002,11.65,0.00581918,2025-12-27,2026-01-06,2.67700607,0.3927849,0.05825,200,,0.00581918,6.74983142,794,0.01467254,2025-12-01,2026-01-31
35-44,female,"Lista 15/01 Arizon.ai - Ad Advantage +",not_delivering,ad,3613,9131,2.52726266,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",41,11.57,0.28219512,2026-01-15,2026-01-22,6.231519,1.26711204,0.03708333,312,,0.00601664,0.44901982,569,0.02033392,2025-12-01,2026-01-31
55-64,female,"POST salcar de Interacción - Copia 2",not_delivering,ad,9812,35600,3.62821035,"7 días después del clic o 1 día después de la visualización",ThruPlay,33507,11.49,0.00034291,2025-12-18,2026-02-06,0.00280899,0.32275281,11.49,1,,0.00033,94.12078652,1,11.49,2025-12-01,2026-01-31
25-34,female,"Galaxy A56 5G",active,ad,4958,11090,2.23678903,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",75,11.44,0.15253333,2026-01-25,2026-02-01,7.40306583,1.03155996,0.05580488,205,,0.02881612,0.67628494,821,0.01393423,2025-12-01,2026-01-31
35-44,female,"Redmi Note 15 Pro",not_delivering,ad,3594,6966,1.93823038,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",53,11.35,0.21415094,2026-01-24,2026-01-31,5.78524261,1.62934252,0.07721088,147,,0.00501547,0.76083836,403,0.02816377,2025-12-01,2026-01-31
